DATE, readings.size(), flightpath.size()
07-10-2021, 33, 111
08-10-2021, 33, 99
09-10-2021, 33, 117
10-10-2021, 33, 113
11-10-2021, 33, 98
12-10-2021, 33, 150
13-10-2021, 33, 98
14-10-2021, 33, 108
15-10-2021, 33, 103
16-10-2021, 33, 114
17-10-2021, 33, 90
18-10-2021, 33, 114
19-10-2021, 33, 116
20-10-2021, 33, 104
21-10-2021, 33, 102
22-10-2021, 33, 94
23-10-2021, 33, 97
24-10-2021, 33, 99
25-10-2021, 33, 104
26-10-2021, 33, 87
27-10-2021, 33, 137
28-10-2021, 33, 122
01-11-2021, 33, 107
02-11-2021, 33, 78
03-11-2021, 33, 103
04-11-2021, 33, 116
05-11-2021, 33, 93
06-11-2021, 33, 114
07-11-2021, 33, 112
08-11-2021, 33, 112
09-11-2021, 33, 103
10-11-2021, 33, 104
11-11-2021, 33, 90
12-11-2021, 33, 105
13-11-2021, 33, 113
14-11-2021, 33, 96
15-11-2021, 33, 93
16-11-2021, 33, 113
17-11-2021, 33, 104
18-11-2021, 33, 103
19-11-2021, 33, 95
20-11-2021, 20, 150
21-11-2021, 33, 101
22-11-2021, 33, 115
23-11-2021, 33, 97
24-11-2021, 33, 99
25-11-2021, 33, 109
26-11-2021, 33, 95
27-11-2021, 33, 86
28-11-2021, 33, 113
01-12-2021, 33, 95
02-12-2021, 33, 116
03-12-2021, 33, 136
04-12-2021, 33, 109
05-12-2021, 33, 120
06-12-2021, 33, 110
07-12-2021, 33, 93
08-12-2021, 33, 87
09-12-2021, 33, 104
10-12-2021, 33, 114
11-12-2021, 33, 150
12-12-2021, 33, 111
13-12-2021, 33, 98
14-12-2021, 33, 112
15-12-2021, 33, 121
16-12-2021, 33, 96
17-12-2021, 33, 123
18-12-2021, 33, 91
19-12-2021, 33, 99
20-12-2021, 33, 93
21-12-2021, 25, 150
22-12-2021, 33, 101
23-12-2021, 33, 124
24-12-2021, 33, 115
25-12-2021, 33, 104
26-12-2021, 33, 83
27-12-2021, 33, 104
28-12-2021, 33, 88
